Author,URL,Points
barvon,https://steemit.com/blocktradesworldcup/@barvon/world-cup-or-my-selections-for-the-quarter-finals,5
anggreklestari,https://steemit.com/blocktradesworldcup/@anggreklestari/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
andremit,https://steemit.com/blocktradesworldcup/@andremit/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
almi,https://steemit.com/blocktradesworldcup/@almi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
travelling-two,https://steemit.com/blocktradesworldcup/@travelling-two/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
simatupang,https://steemit.com/blocktradesworldcup/@simatupang/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
samal,https://steemit.com/blocktradesworldcup/@samal/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
raj808,https://steemit.com/esteem/@raj808/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-862e6370d4d2eest,5
liuzg,https://steemit.com/cn/@liuzg/theblocktradesworldcupmyselectionsforthequarterfinalsbyliuzg-qw41kso139,5
kay1,https://steemit.com/blocktradesworldcup/@kay1/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
iqbaladan,https://steemit.com/blocktradesworldcup/@iqbaladan/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
faroel,https://steemit.com/blocktradesworldcup/@faroel/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
dungga,https://steemit.com/blocktradesworldcup/@dungga/quarter-finals-stage-submit-your-entry-to-keep-competing-for-the-2-000-sbd-prize-pool,5
dukdeng,https://steemit.com/blocktradesworldcup/@dukdeng/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-6a190ff178264,5
cvrlo,https://steemit.com/blocktradesworldcup/@cvrlo/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
aulia7629,https://steemit.com/blocktradesworldcup/@aulia7629/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
singkelsteemit,https://steemit.com/blocktradesworldcup/@singkelsteemit/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
pablitomoreno,https://steemit.com/blocktradesworldcup/@pablitomoreno/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
joseg,https://steemit.com/blocktradesworldcup/@joseg/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
francismoure,https://steemit.com/blocktradesworldcup/@francismoure/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
androssgb,https://steemit.com/blocktradesworldcup/@androssgb/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
osita21,https://steemit.com/blocktradesworldcup/@osita21/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
cryptoandcoffee,https://steemit.com/blocktradesworldcup/@cryptoandcoffee/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
